MolLogP,MolWt,NumRotatableBonds,AromaticProportion,logS,MolWt_log,MolWt_squared,MolWt_cubed,MolLogP_squared,MolLogP_abs,MolLogP_signed_sqrt,Flexibility_Index,Rigidity_Score,Aromatic_Index,Aromatic_Score,Lipinski_MW,Lipinski_LogP,Lipinski_Score,Sol_Heuristic_1,Sol_Heuristic_2,MW_LogP_Interaction,MW_Aromatic_Interaction,LogP_Rotatable_Interaction,Complexity_Score,Polarity_Estimate,MW_Bin_L,MW_Bin_M,MW_Bin_H,MW_Bin_VH,LogP_Bin_L,LogP_Bin_M,LogP_Bin_H,LogP_Bin_VH,Rotatable_Bin_L,Rotatable_Bin_M,Rotatable_Bin_H,Rotatable_Bin_VH,Z_Score_MolWt,Z_Score_LogP,MW_per_RotatableBond,LogP_per_MW
9.8876,498.66200000000026,1.0,0.5454545454545454,-11.6,6.2139318698311685,248663.79024400027,123999182.97065373,97.76463376000001,9.8876,3.144455437750709,0.1670391640023919,0.5,54.54545454545454,5.393236363636364,1,0,1,-2.0806780000000007,0.11636363636363638,4.9305703912000025,271.9974545454547,9.8876,0.49866200000000027,0.10012415395089912,False,False,True,False,False,False,False,True,False,False,False,False,2.865220169647046,3.9863105882904812,249.33100000000013,1.9824284929485394
8.580799999999998,429.77200000000016,1.0,0.6,-9.16,6.06557894781247,184703.97198400015,79380595.44750774,73.63012863999997,8.580799999999998,2.9293002577407456,0.1887604478907907,0.5,60.0,5.148479999999998,1,0,1,-1.8027000000000002,0.09999999999999999,3.6877875776000004,257.86320000000006,8.580799999999998,0.42977200000000015,0.1151967560593494,False,True,False,False,False,False,False,True,False,False,False,False,2.19391180249266,3.285990105036471,214.88600000000008,1.9961290802843623
8.580799999999998,429.77200000000016,1.0,0.6,-9.15,6.06557894781247,184703.97198400015,79380595.44750774,73.63012863999997,8.580799999999998,2.9293002577407456,0.1887604478907907,0.5,60.0,5.148479999999998,1,0,1,-1.8027000000000002,0.09999999999999999,3.6877875776000004,257.86320000000006,8.580799999999998,0.42977200000000015,0.1151967560593494,False,True,False,False,False,False,False,True,False,False,False,False,2.19391180249266,3.285990105036471,214.88600000000008,1.9961290802843623
7.274000000000001,360.88200000000006,1.0,0.6666666666666666,-8.6,5.8913181918362,130235.81792400005,46999762.44404899,52.911076000000016,7.274000000000001,2.6970354094820483,0.21697527783684326,0.5,66.66666666666666,4.849333333333334,1,0,1,-1.5247220000000001,0.08,2.625055668000001,240.58800000000002,7.274000000000001,0.36088200000000004,0.13561160835367506,False,True,False,False,False,False,False,True,False,False,False,False,1.5226034353382736,2.5856696217824635,180.44100000000003,2.0150589226055593
7.9274,395.3270000000001,1.0,0.631578947368421,-8.94,5.982239628080023,156283.43692900008,61783062.27083083,62.843670759999995,7.9274,2.8155638866841577,0.20188683435387123,0.5,63.1578947368421,5.006778947368421,1,0,1,-1.6637110000000002,0.09052631578947369,3.1339152598000006,249.68021052631585,7.9274,0.3953270000000001,0.1245733363230934,False,True,False,False,False,False,False,True,False,False,False,False,1.8582576189154667,2.9358298634094675,197.66350000000006,2.004769527624567
7.274000000000001,360.88200000000006,1.0,0.6666666666666666,-8.56,5.8913181918362,130235.81792400005,46999762.44404899,52.911076000000016,7.274000000000001,2.6970354094820483,0.21697527783684326,0.5,66.66666666666666,4.849333333333334,1,0,1,-1.5247220000000001,0.08,2.625055668000001,240.58800000000002,7.274000000000001,0.36088200000000004,0.13561160835367506,False,True,False,False,False,False,False,True,False,False,False,False,1.5226034353382736,2.5856696217824635,180.44100000000003,2.0150589226055593
7.274000000000001,360.88200000000006,1.0,0.6666666666666666,-8.71,5.8913181918362,130235.81792400005,46999762.44404899,52.911076000000016,7.274000000000001,2.6970354094820483,0.21697527783684326,0.5,66.66666666666666,4.849333333333334,1,0,1,-1.5247220000000001,0.08,2.625055668000001,240.58800000000002,7.274000000000001,0.36088200000000004,0.13561160835367506,False,True,False,False,False,False,False,True,False,False,False,False,1.5226034353382736,2.5856696217824635,180.44100000000003,2.0150589226055593
5.737200000000003,252.316,0.0,1.0,-8.699,5.534637721218808,63663.363856,16063285.314690497,32.91546384000004,5.737200000000003,2.3952452901529737,0.0,1.0,100.0,5.737200000000003,1,0,1,-1.1702680000000005,0.0,1.4475873552000007,252.316,0.0,0.0,0.17131501404783106,True,False,False,False,False,False,True,False,False,False,False,False,0.46466666384047955,1.7620910185801684,252.316,2.272914553752537
5.640400000000003,252.316,0.0,1.0,-8.49,5.534637721218808,63663.363856,16063285.314690497,31.814112160000036,5.640400000000003,2.3749526311065665,0.0,1.0,100.0,5.640400000000003,1,0,1,-1.1547800000000006,0.0,1.4231631664000008,252.316,0.0,0.0,0.17420388823078523,True,False,False,False,False,False,True,False,False,False,False,False,0.46466666384047955,1.7102154272280197,252.316,2.2345651622718066
6.3282000000000025,276.338,0.0,1.0,-9.018,5.625236978934605,76362.69024400001,21101913.096646477,40.046115240000034,6.3282000000000025,2.515591381762945,0.0,1.0,100.0,6.3282000000000025,1,0,1,-1.2888500000000005,0.0,1.748722131600001,276.338,0.0,0.0,0.15556454372919318,True,False,False,False,False,False,True,False,False,False,False,False,0.6987524469117912,2.0788107963603326,276.338,2.2891932368198304
